"name","ref","status","discount","current_price"
"LG 65UR78006 ","65UR78006","Promo","-2% ",7199
"LG 65CS3VA ","65CS3VA","Promo","-11% ",19999
"LG 55CS3VA ","55CS3VA","Promo","-10% ",12999
"LG LED 65UR80006LJ 4K ","LED 65UR80006LJ 4K","Promo","-7% ",8499
"LG LED 55UR80006LJ ","LED 55UR80006LJ","Promo","-3% ",6549
"LG LED 70UR80006LJ 4K ","LED 70UR80006LJ 4K","Promo","-7% ",10199
"LG LED 50UR80006LJ 4K ","LED 50UR80006LJ 4K","Promo","-11% ",5199
"LG LED 50NANO776RA 4K ","LED 50NANO776RA 4K","Promo","-11% ",5399
"LG LED 43UR80006LJ 4K ","LED 43UR80006LJ 4K","Promo","-10% ",4299
"LG LED 43UQ75006 4K ","LED 43UQ75006 4K",,,3999
"LG LED 50UQ75006 4K ","LED 50UQ75006 4K","Promo","-4% ",4499
"LG LED 55UQ75006 4K ","LED 55UQ75006 4K","Promo","-1% ",5199
"LG LED 65UP7760PVB 4K ","LED 65UP7760PVB 4K",,,7499
"LG LED 75UR80006LJ ","LED 75UR80006LJ","Promo","-15% ",10999
"LG OLED POSE 55LX1Q6LA ","OLED POSE 55LX1Q6LA",,,23199
"LG 32LQ630B6LB HD ","32LQ630B6LB HD",,,2199
"LG LED 55NANO776RA 4K ","LED 55NANO776RA 4K","Promo","-11% ",6699
"LG LED 86UR80006LA 4K ","LED 86UR80006LA 4K","Promo","-5% ",18999
"LG OLED 65A26LA 4K ","OLED 65A26LA 4K",,,13999
"LG OLED 55A26LA 4K ","OLED 55A26LA 4K",,,9299
" TV LG LED SMART 32"" ","32LQ630B6LB",,,2599
" TV LG UHD SMART 43"" ","43UQ75006",,,3999
" TV LG  LED UHD SMART 43"" ","43UQ80006LD","Liquidation",,4299
" TV LG UHD SMART 50"" ","50UQ75006",,,4699
" TV LG LED UHD SMART 50"" ","50UR80006LJ","Promotion",,5099
" TV LG LED UHD SMART 55"" ","55UR80006LJ",,,6699
" TV LG LED NANOCELL UHD SMART 55"" ","55NANO776RA","Promotion",,6699
" TV LG LED UHD SMART 70"" ","70UR80006LJ","Promotion",,9999
" TV LG QNED UHD SMART 65"" ","65QNED816RA","Promotion",,10999
" TV LG LED UHD SMART 75"" ","75UR80006LJ","Promotion",,11499
" TV LG OLED UHD SMART 55"" ","OLED55CS3VA","Promotion",,13499
" TV LG LED SMART  43"" ","43LM6300PVB","En rupture du stock",,3789